Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,# Responses
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Neutral,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Agree,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Strongly Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,N/A,0
User 33,,,,,,,,,
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Neutral,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Strongly Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,N/A,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,Neutral,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,Agree,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,Strongly Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,N/A,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,Neutral,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,Agree,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,Strongly Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,N/A,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,Neutral,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,Agree,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,Strongly Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,N/A,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,Neutral,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,Strongly Agree,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,N/A,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Neutral,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Strongly Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,N/A,0
User 34,,,,,,,,,
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Neutral,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Agree,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Strongly Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,N/A,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,Disagree,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,Neutral,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,Strongly Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,N/A,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,Disagree,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,Neutral,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,Strongly Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,N/A,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,Disagree,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,Neutral,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,Strongly Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,N/A,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,Neutral,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,Strongly Agree,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,N/A,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Neutral,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Agree,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Strongly Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,N/A,0
User 35,,,,,,,,,
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Neutral,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Agree,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Strongly Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,N/A,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,Neutral,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,Strongly Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,N/A,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,Neutral,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,Strongly Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,N/A,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,Neutral,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,Strongly Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,N/A,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,Neutral,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,Strongly Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,N/A,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Neutral,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Agree,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Strongly Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,N/A,0
User 36,,,,,,,,,
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Neutral,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Strongly Agree,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,N/A,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,Neutral,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,Strongly Agree,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I come to lab expecting to hear the lab talk to improve my chances on the exam.,N/A,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,Neutral,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,Strongly Agree,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help explain the content in more detail then the MyITLab training.,N/A,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,Neutral,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,Strongly Agree,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,I prefer not to listen to the lab talk.,N/A,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,Neutral,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,Strongly Agree,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The material in the lab talk was already covered in the preparation I did before lab.,N/A,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Neutral,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Agree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,Strongly Agree,1
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talks help me use the software outside of the lab situations.,N/A,0
User 37,,,,,,,,,
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Strongly Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Disagree,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Neutral,0
,1,LIK,Did you find the lab talk helpful in completing the lab exam?,Please indicate your level of agreement with the following statements. The results of this survey is anonymous.,,,The lab talk helped improve my performance on the lab exam.,Agree,0
